0	1	2	3	4	5	6	7	8	9	10
桐本路二门诊后面 气象局家属院 2楼三房 有证 随时看房	明阳花园	巩义市区-中心	住宅	3室1厅1卫	99平米	简单装修	2/6	南	1998年	3030元/平米
出售清河湾87平两室现房 均价5000	清河湾	巩义市区-中心	住宅	2室2厅1卫	87平米	毛坯	低/18	南	2015年	5172元/平米
首付18万 六小分校 华树世家旁 103平双气三房 有证	拖厂南苑	巩义市区-中心	住宅	3室1厅1卫	103平米	简单装修	6/6	南北	2005年	4854元/平米
首付20万 丹尼斯 外国语小学 127平双气三房 房本在手	拖厂南苑	巩义市区-中心	住宅	3室2厅2卫	127平米	简单装修	6/6	南北	2005年	4488元/平米
出售瑞华苑三室二厅二卫简装现房	瑞华苑	巩义东区-中心	住宅	3室2厅2卫	142.1平米	简单装修	中/18	南	2012年	7037元/平米
求购市区二手房		巩义市区-中心	住宅	3室2厅1卫	1平米	简单装修	/	0	0年	面议/平米
畜牧局家属院3室2厅149平方，出售		巩义市区-中心	住宅	3室2厅1卫	149平米	简单装修	2/6		2010年	5034元/平米
首付只要25万龙泉花园3室2厅	龙泉花园	巩义市区-中心	住宅	3室2厅1卫	123平米	中等装修	/	南北向	0年	6667元/平米
出售拖厂家属楼3室21.5万元价格便宜		巩义市区-中心	住宅	3室1厅1卫	63平米	简单装修	4/5	南北向	1995年	3413元/平米
盛威·凯旋门3室1厅1卫58万元		巩义东区-中心	住宅	3室1厅1卫	93平米	毛坯	12/20	西南向	2013年	6237元/平米
煤炭公司家属楼2室2厅1卫22万元		巩义市区-中心	住宅	2室2厅1卫	75.5平米	简单装修	2/7	南北向	1998年	2914元/平米
有证！可分期！宇华232平五室两厅电梯复式！	宇华名苑	巩义东区-中心	住宅	5室2厅3卫	232平米	毛坯	6/7		2007年	6034元/平米
正大房产出售！锦江国际花园3室2厅1卫62万元	锦江国际花园	巩义东区-中心	住宅	3室2厅1卫	102平米	简单装修	中/6	朝南	2010年	6078元/平米
世博一品城89平精装两室只要61万		巩义东区-周边	住宅	2室2厅1卫	89平米	豪华装修	4/18	朝南	2015年	6854元/平米
首付27万！龙泉花园！160平精装三室！看房电联	龙泉花园	巩义市区-中心	住宅	3室2厅2卫	150平米	中等装修	中/	南北向z	2012年	6000元/平米
北山口西义兴店后教师家属院		北山口镇-镇中心	住宅	3室1厅1卫	105平米	简单装修	5/6	南北	2000年	2190元/平米
锦江花园一楼三室两厅毛坯均价5000左右一次性付款	锦江国际花园	巩义东区-中心	住宅	3室2厅2卫	132平米	毛坯	1/16	南北	2010年	5076元/平米
低价出售陇海路家属院三室两厅一卫127平米32万中等装修		巩义市区-中心	住宅	3室2厅1卫	127平米	简单装修	6/7	南北	2000年	2520元/平米
龙泉花园20楼150平	龙泉花园	巩义市区-中心	住宅	4室2厅2卫	150平米	毛坯	20/26	南北	2012年	6467元/平米
名仕豪居二期，1#楼8层，116平方米、可分期	名仕豪居	巩义市区-周边	住宅	3室2厅1卫	116平米	毛坯	8/26	南北	2015年	5000元/平米
出售浪漫新城 四室二厅两卫 毛坯房 双梯双气 按揭已还完	朗曼新城	巩义东区-中心	住宅	4室2厅2卫	175平米	毛坯	中/26	南北	2015年	6571元/平米
畜牧局家属院3室2厅 149平方，出售。		巩义市区-中心	住宅	3室2厅1卫	149平米	中等装修	2/6	南北	2000年	5034元/平米
明阳花园房屋出售	明阳花园	巩义市区-中心	住宅	5室2厅2卫	189平米	中等装修	6/6	南北	2005年	3810元/平米
业主急售 世博一品城 婚房装修 直升7小九年制教育 首付45	世博一品城	巩义东区-中心	住宅	3室2厅2卫	124平米	豪华装修	高/18	南北	2015年	6371元/平米
35万有证可过户，开普小区3室	开普小区北区	巩义市区-中心	住宅	3室1厅1卫	89平米	简单装修	4/6	南北	2006年	3933元/平米
首付仅需17万城市嘉苑精装修两室 有证可分期	城市嘉苑	巩义市区-中心	住宅	3室2厅2卫	90平米	豪华装修	中/18	南北	2013年	6111元/平米
出售市区电梯新房三室双气 45万	宇华苑小区	巩义市区-中心	住宅	3室1厅1卫	103平米	简单装修	低/26	南北	2014年	4369元/平米
鼎泰花园 三室两厅，毛坯现房 可改名！140平，49万！	鼎泰花苑	巩义市区-中心	住宅	3室2厅2卫	140平米	毛坯	5/6	南北	2010年	3500元/平米
和平花园 128平 三室 35万	和平花园	巩义市区-中心	住宅	3室2厅1卫	128平米	简单装修	6/7	南北	2005年	3438元/平米
出售建设路交警队102平3楼三室33万有证可过户		巩义市区-中心	住宅	3室2厅1卫	102平米	毛坯	3/6	南北	1995年	3235元/平米
和平花园 精装修三房 送家具家电 总价低需全款 看房随时方便	和平花园	巩义市区-中心	住宅	3室2厅1卫	125平米	豪华装修	高/15	南	2009年	4400元/平米
出售宇华小区130平精装三室 45万	宇华苑小区	巩义市区-中心	住宅	3室2厅2卫	130平米	豪华装修	4/6	南北	2002年	3462元/平米
恒星花园 3室2厅2卫 楼层号 仅82W	恒星皇家花园	巩义东区-中心	住宅	3室2厅2卫	121平米	毛坯	低/26	南北	2016年	6777元/平米
东方现代城南苑 毛坯现房 2室2厅 仅49W	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	95平米	毛坯	低/19	南	2015年	5158元/平米
出售家福园141平方三室两厅两卫83万		巩义东区-中心	住宅	3室2厅2卫	141平米	毛坯	3/18	西	0年	5887元/平米
和平花园 精装修三房 送家具家电 总价低需全款 看房随时方便	和平花园	巩义市区-中心	住宅	3室2厅1卫	125平米	豪华装修	高/15	南	2009年	4400元/平米
开普小区北苑 复式套房 4室3厅2卫 中装 带家具家电	开普小区北区	巩义市区-中心	住宅	4室3厅2卫	170平米	毛坯	5/6	南北	2004年	3471元/平米
恒星花园 3室2厅2卫 楼层号 仅82W	恒星皇家花园	巩义东区-中心	住宅	3室2厅2卫	121平米	毛坯	低/26	南北	2016年	6777元/平米
东方现代城南苑 毛坯现房 2室2厅 仅49W	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	95平米	毛坯	低/19	南	2015年	5158元/平米
有证首付30万龙泉花苑150平四室有钥匙随时看房	龙泉花园	巩义市区-中心	住宅	4室2厅2卫	150平米	毛坯	高/26	南北	2012年	6000元/平米
